Year,Rank,Artist,Title
2017,46,DJ Khaled feat. Rihanna & Bryson Tiller,Wild Thoughts
2017,47,James Arthur,Say You Won't Let Go
2017,48,Rita Ora,Your Song
2017,49,Post Malone feat. 21 Savage,Rockstar
2017,50,"Calvin Harris feat. Pharrell Williams, Katy Perry & Big Sean",Feels
2017,51,David Guetta feat. Justin Bieber,2U
2017,52,Zedd & Alessia Cara,Stay
2017,53,Portugal. The Man,Feel It Still
2017,54,DJ Snake feat. Justin Bieber,Let Me Love You
2017,55,Nemo,Du
2017,56,Alan Walker,Faded
2017,57,"DJ Khaled feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
2017,58,Robin Schulz & David Guetta feat. Cheat Codes,Shed A Light
2017,59,Lady Gaga,Million Reasons
2017,60,Max Giesinger,Wenn sie tanzt
2017,61,Dua Lipa,New Rules
2017,62,LP,Lost On You
2017,63,Alvaro Soler,Sofia
2017,64,Justin Timberlake,Can't Stop The Feeling!
2017,65,Sean Paul feat. Dua Lipa,No Lie
2017,66,Sam Smith,Too Good At Goodbyes
2017,67,The Chainsmokers feat. Halsey,Closer
2017,68,Calvin Harris,My Way
2017,69,Welshly Arms,Legendary
2017,70,Calvin Harris feat. Frank Ocean & Migos,Slide
2017,71,Macklemore feat. Skylar Grey,Glorious
2017,72,Sia feat. Kendrick Lamar,The Greatest
2017,73,Shawn Mendes,Mercy
2017,74,Alessia Cara,Scars To Your Beautiful
2017,75,Nicky Jam,El amante
2017,76,Rihanna,Love On The Brain
2017,77,Maroon 5 feat. Kendrick Lamar,Don't Wanna Know
2017,78,Alok & Bruno Martini feat. Zeeba,Hear Me Now
2017,79,Miley Cyrus,Malibu
2017,80,Bruno Mars,24K Magic
2017,81,Twenty One Pilots,Heathens
2017,82,Kendrick Lamar,Humble.
2017,83,Justin Bieber + BloodPop®,Friends
2017,84,Ofenbach vs. Nick Waterhouse,Katchi
2017,85,Nemo,Ke Bock
2017,86,John Legend,Love Me Now
2017,87,Lil Uzi Vert,XO Tour Llif3
2017,88,Robbie Williams,Love My Life
2017,89,Mark Forster,Sowieso
2017,90,G-Eazy & Kehlani,Good Life
2017,91,Drake,Passionfruit
2017,92,Major Lazer feat. PartyNextDoor & Nicki Minaj,Run Up
2017,93,Andreas Gabalier,Hulapalu
2017,94,Maluma,Felices los 4
2017,95,Maroon 5 feat. SZA,What Lovers Do
2017,96,Lauv,I Like Me Better
2017,97,Coldplay,Hymn For The Weekend
2017,98,Sia,Never Give Up
2017,99,Liam Payne feat. Quavo,Strip That Down
2017,100,Shakira,Me enamoré!
2018,1,Lo & Leduc,079
2018,2,Ed Sheeran,Perfect
2018,3,Luis Fonsi & Demi Lovato,Échame la culpa
2018,4,Dynoro & Gigi D'Agostino,In My Mind
2018,5,Dennis Lloyd,Nevermind
2018,6,Camila Cabello feat. Young Thug,Havana
2018,7,Alvaro Soler,La cintura
2018,8,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days
2018,9,Calvin Harris & Dua Lipa,One Kiss
2018,10,Tom Walker,Leave A Light On
2018,11,Nicky Jam x J Balvin,X
2018,12,David Guetta & Sia,Flames
2018,13,Ed Sheeran,Shape Of You
2018,14,Maroon 5 feat. Cardi B,Girls Like You
2018,15,Clean Bandit feat. Demi Lovato,Solo
2018,16,Drake,God's Plan
2018,17,Takagi & Ketra feat. Giusy Ferreri & Sean Kingston,Amore e capoeira
2018,18,Post Malone feat. 21 Savage,Rockstar
2018,19,Eminem feat. Ed Sheeran,River
2018,20,Nico Santos,Rooftop
2018,21,"Cardi B, Bad Bunny & J Balvin",I Like It
2018,22,Lady Gaga & Bradley Cooper,Shallow
2018,23,Imagine Dragons,Whatever It Takes
2018,24,Imagine Dragons,Natural
2018,25,Luis Fonsi feat. Daddy Yankee,Despacito
2018,26,Loco Escrito,Adiós
2018,27,Justin Timberlake feat. Chris Stapleton,Say Something
2018,28,Marshmello & Anne-Marie,Friends
2018,29,Jonas Blue feat. Jack & Jack,Rise
2018,30,XXXTentacion,Sad!
2018,31,Post Malone,Better Now
2018,32,Calvin Harris & Sam Smith,Promises
2018,33,Calum Scott,You Are The Reason
2018,34,George Ezra,Shotgun
2018,35,Liam Payne & Rita Ora,For You (Fifty Shades Freed)
2018,36,Ariana Grande,No Tears Left To Cry
2018,37,Kygo feat. Miguel,Remind Me To Forget
2018,38,Loud Luxury feat. Brando,Body
2018,39,Bausa,Was du Liebe nennst
2018,40,Tyga feat. Offset,Taste
2018,41,Shawn Mendes,In My Blood
2018,42,Rita Ora,Anywhere
2018,43,Zayn feat. Sia,Dusk Till Dawn
2018,44,Ofenbach vs. Nick Waterhouse,Katchi
2018,45,Namika feat. Black M,Je ne parle pas français (Beatgees Remix)
2018,46,Kygo & Imagine Dragons,Born To Be Yours
2018,47,Lost Frequencies & Zonderling,Crazy
2018,48,Drake,In My Feelings
2018,49,G-Eazy & Halsey,Him & I
2018,50,Bligg feat. Marc Sway,Us Mänsch
2018,51,Dean Lewis,Be Alright
2018,52,Selena Gomez x Marshmello,Wolves
2018,53,Daddy Yankee,Dura
2018,54,Bonez MC & RAF Camora,500 PS
2018,55,Lost Frequencies feat. James Blunt,Melody
2018,56,Capital Bra feat. Ufo361,Neymar
2018,57,NF,Let You Down
2018,58,XXXTentacion,Moonlight
2018,59,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki
2018,60,Portugal. The Man,Feel It Still
2018,61,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away
2018,62,Jax Jones feat. Ina Wroldsen,Breathe
2018,63,Anne-Marie,2002
2018,64,Marshmello & Bastille,Happier
2018,65,Kygo feat. Justin Jesso,Stargazing
2018,66,Dua Lipa,IDGAF
2018,67,Gavin James,Always
2018,68,Zedd / Maren Morris / Grey,The Middle
2018,69,"Benny Blanco, Halsey & Khalid",Eastside
2018,70,5 Seconds Of Summer,Youngblood
2018,71,"Luis Fonsi, Stefflon Don",Calypso
2018,72,Panic! At The Disco,High Hopes
2018,73,El Profesor,Bella ciao (Hugel Remix)
2018,74,Gashi feat. French Montana & DJ Snake,Creep On Me
2018,75,Aya Nakamura,Djadja
2018,76,Lartiste feat. Caroliina,Mafiosa
2018,77,Imagine Dragons,Thunder
2018,78,Axwell Λ Ingrosso,More Than You Know
2018,79,Ava Max,Sweet But Psycho
2018,80,Wincent Weiss,An Wunder
2018,81,Rea Garvey feat. Kool Savas,Is It Love?
2018,82,James Arthur,Naked
2018,83,Nio Garcia + Casper Magico + Darell,Te boté
2018,84,Hecht,Kawasaki
2018,85,Tiësto & Dzeko feat. Preme & Post Malone,Jackie Chan
2018,86,Capital Bra feat. Juju,Melodien
2018,87,Maître Gims avec Vianney,La même
2018,88,P!nk,What About Us
2018,89,Post Malone feat. Ty Dolla $ign,Psycho
2018,90,Juice WRLD,Lucid Dreams (Forget Me)
2018,91,Marshmello feat. Khalid,Silence
2018,92,Dua Lipa,New Rules
2018,93,A$AP Rocky feat. Skepta,Praise The Lord (Da Shine)
2018,94,Bad Bunny feat. Drake,Mia
2018,95,Lauv,I Like Me Better
2018,96,Capital Bra,One Night Stand
2018,97,Bebe Rexha feat. Florida Georgia Line,Meant To Be
2018,98,Ed Sheeran,Happier
2018,99,Martin Garrix feat. Khalid,Ocean
2018,100,Selena Gomez,Back To You
2019,1,Lady Gaga & Bradley Cooper,Shallow
2019,2,Lil Nas X,Old Town Road
2019,3,Lewis Capaldi,Someone You Loved
2019,4,Shawn Mendes & Camila Cabello,Señorita
2019,5,Tones And I,Dance Monkey
2019,6,Billie Eilish,Bad Guy
2019,7,Ava Max,Sweet But Psycho
2019,8,Pedro Capó,Calma
2019,9,Daddy Yankee feat. Snow,Con calma
2019,10,Luca Hänni,She Got Me
2019,11,Ed Sheeran & Justin Bieber,I Don't Care
2019,12,Lady Gaga,Always Remember Us This Way
2019,13,Imagine Dragons,Bad Liar
2019,14,Panic! At The Disco,High Hopes
2019,15,Mabel [UK],Don't Call Me Up
2019,16,DJ Snake & J Balvin feat. Tyga,Loco contigo
2019,17,Dynoro & Gigi D'Agostino,In My Mind
2019,18,Calvin Harris & Rag'n'Bone Man,Giant
2019,19,Ariana Grande,7 Rings
2019,20,Meduza feat. Goodboys,Piece Of Your Heart
2019,21,Alec Benjamin,Let Me Down Slowly
2019,22,Ozuna,Baila baila baila
2019,23,Ed Sheeran feat. Khalid,Beautiful People
2019,24,Robin Schulz feat. Erika Sirola,Speechless
2019,25,Avicii feat. Aloe Blacc,SOS
2019,26,Capital Bra x Samra,Tilidin
2019,27,Mahmood,Soldi
2019,28,Lo & Leduc,079
2019,29,Samra & Capital Bra,Wieder Lila
2019,30,Kygo x Whitney Houston,Higher Love
2019,31,Jonas Brothers,Sucker
2019,32,Apache 207,Roller
2019,33,Halsey,Without Me
2019,34,Post Malone,Wow.
2019,35,Maître Gims & Maluma,Hola señorita
2019,36,Capital Bra x Samra & Lea,110
2019,37,Ed Sheeran,Perfect
2019,38,Loco Escrito,Punto
2019,39,Queen,Bohemian Rhapsody
2019,40,OneRepublic,Rescue Me
2019,41,Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart
2019,42,Patent Ochsner,Für immer uf di
2019,43,Benji & Fede,Dove e quando
2019,44,"Takagi & Ketra, Omi & Giusy Ferreri",Jambo
2019,45,Billie Eilish,When The Party's Over
2019,46,Dean Lewis,Be Alright
2019,47,Capital Bra,Cherry Lady
2019,48,Marshmello & Bastille,Happier
2019,49,"David Guetta, Bebe Rexha & J Balvin",Say My Name
2019,50,Loud Luxury feat. Brando,Body
2019,51,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki
2019,52,Sido,Tausend Tattoos
2019,53,Shaed,Trampoline
2019,54,Ava Max,So Am I
2019,55,Ali Gatie,It's You
2019,56,Dennis Lloyd,Never Go Back
2019,57,Anuel AA / Daddy Yankee / Karol G / Ozuna / J Balvin,China
2019,58,Travis Scott,Highest In The Room
2019,59,Maroon 5,Memories
2019,60,Post Malone feat. Young Thug,Goodbyes
2019,61,Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days
2019,62,Sam Smith & Normani,Dancing With A Stranger
2019,63,Regard,Ride It
2019,64,Dermot Kennedy,Power Over Me
2019,65,Alle Farben & Ilira,Fading
2019,66,Younotus & Janieck & Senex,Narcotic
2019,67,Imagine Dragons,Natural
2019,68,Capital Bra,Benzema
2019,69,P!nk,Walk Me Home
2019,70,Billie Eilish,Bury A Friend
2019,71,Sam Smith,How Do You Sleep?
2019,72,Post Malone,Circles
2019,73,Bad Bunny feat. Drake,Mia
2019,74,Post Malone & Swae Lee,Sunflower
2019,75,Lauren Daigle,You Say
2019,76,Capital Bra,Prinzessa
2019,77,Robin Schulz feat. Harl,All This Love
2019,78,Lukas Graham,Love Someone
2019,79,Calvin Harris & Sam Smith,Promises
2019,80,Adel Tawil feat. Peachy,Tu m'appelles
2019,81,Loco Escrito,Mi culpa
2019,82,PNL,Au DD
2019,83,Lil Tecca,Ran$om
2019,84,Mero,Wolke 10
2019,85,Y2K & bbno$,Lalala
2019,86,Rammstein,Deutschland
2019,87,Mero,Baller los
2019,88,Young Thug feat. J. Cole & Travis Scott,The London
2019,89,Rita Ora,Let You Love Me
2019,90,Capital Bra x Samra,Wir ticken
2019,91,Nicky Jam x Ozuna,Te robaré
2019,92,Shawn Mendes,If I Can't Have You
2019,93,Sido feat. Monchi,Leben vor dem Tod
2019,94,Capital Bra feat. Summer Cem & KC Rebell,Rolex
2019,95,Aya Nakamura,Pookie
2019,96,Sech feat. Darell,Otro trago
2019,97,KC Rebell feat. Summer Cem & Capital Bra,DNA
2019,98,R3hab x A Touch Of Class,All Around The World (La La La)
2019,99,"Alan Walker, Sabrina Carpenter & Farruko",On My Way
2019,100,Lauv & Troye Sivan,I'm So Tired...
2020,1,The Weeknd,Blinding Lights
2020,2,Tones And I,Dance Monkey
2020,3,SAINt JHN,Roses (Imanbek Remix)
2020,4,Topic feat. A7S,Breaking Me
2020,5,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat)
2020,6,DaBaby feat. Roddy Ricch,Rockstar
2020,7,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix)
2020,8,Regard,Ride It
2020,9,Robin Schulz feat. Alida,In Your Eyes
2020,10,Lewis Capaldi,Someone You Loved
2020,11,Lewis Capaldi,Before You Go
2020,12,Nea,Some Say
2020,13,Karol G / Nicki Minaj,Tusa
2020,14,Ava Max,Kings & Queens
2020,15,Dua Lipa,Don't Start Now
2020,16,24kGoldn feat. Iann Dior,Mood
2020,17,Harry Styles,Watermelon Sugar
2020,18,Billie Eilish,Bad Guy
2020,19,Roddy Ricch,The Box
2020,20,Surf Mesa feat. Emilee,ILY (I Love You Baby)
2020,21,Maroon 5,Memories
2020,22,Apache 207,Roller
2020,23,Ava Max,Salt
2020,24,Lady Gaga & Bradley Cooper,Shallow
2020,25,Zoe Wees,Control
2020,26,Vize & Tom Gregory,Never Let Me Down
2020,27,Powfu feat. Beabadoobee,Death Bed
2020,28,Black Eyed Peas / Ozuna + J. Rey Soul,Mamacita
2020,29,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade
2020,30,Mark Forster,Übermorgen
2020,31,Travis Scott,Highest In The Room
2020,32,Joel Corry feat. MNEK,Head & Heart
2020,33,Drake,Toosie Slide
2020,34,Billie Eilish,Everything I Wanted
2020,35,Trevor Daniel,Falling
2020,36,Shawn Mendes & Camila Cabello,Señorita
2020,37,Pop Smoke feat. Lil Baby & DaBaby,For The Night
2020,38,Future feat. Drake,Life Is Good
2020,39,Robin Schulz & Wes,Alane
2020,40,Apache 207,Bläulich
2020,41,Michael Patrick Kelly,Beautiful Madness
2020,42,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes
2020,43,Meduza x Becky Hill x Goodboys,Lose Control
2020,44,Arizona Zervas,Roxanne
2020,45,The Weeknd,In Your Eyes
2020,46,Dua Lipa,Physical
2020,47,Aya Nakamura,Jolie nana
2020,48,Twocolors,Lovefool
2020,49,Lil Nas X,Old Town Road
2020,50,Ufo361,Emotions
2020,51,Tom Gregory,Fingertips
2020,52,Jack Harlow,Whats Poppin
2020,53,Post Malone,Circles
2020,54,Black Eyed Peas x J Balvin,Ritmo (Bad Boys For Life)
2020,55,Jason Derulo,Take You Dancing
2020,56,Doja Cat,Say So
2020,57,Pashanim,Airwaves
2020,58,DJ Khaled feat. Drake,Greece
2020,59,Capital Bra x Samra & Lea,110
2020,60,Cardi B feat. Megan Thee Stallion,WAP
2020,61,Sch - Kofs - Jul - Naps - Soso Maness - Elams - Solda - Houari,Bande organisée
2020,62,Benee feat. Gus Dapperton,Supalonely
2020,63,Lady Gaga & Ariana Grande,Rain On Me
2020,64,Tate McRae,You Broke Me First
2020,65,Surfaces,Sunday Best
2020,66,Kygo x Tina Turner,What's Love Got To Do With It
2020,67,Rosalía & Travis Scott,TKN
2020,68,Eminem feat. Juice WRLD,Godzilla
2020,69,Loco Escrito,Ámame
2020,70,Dua Lipa,Break My Heart
2020,71,6ix9ine,Gooba
2020,72,Pop Smoke feat. Lil Tjay,Mood Swings
2020,73,Mariah Carey,All I Want For Christmas Is You
2020,74,Pop Smoke,Dior
2020,75,Miley Cyrus,Midnight Sky
2020,76,Justin Bieber,Yummy
2020,77,Maluma,Hawái
2020,78,Justin Bieber feat. Quavo,Intentions
2020,79,Ed Sheeran & Justin Bieber,I Don't Care
2020,80,Kygo & OneRepublic,Lose Somebody
2020,81,Tyga,Ayy Macarena
2020,82,Lewis Capaldi,Bruises
2020,83,Apache 207,Fame
2020,84,Billie Eilish,No Time To Die
2020,85,Lil Mosey,Blueberry Faygo
2020,86,Ed Sheeran feat. Camila Cabello & Cardi B,South Of The Border
2020,87,Ali Gatie,What If I Told You That I Love You
2020,88,Gradur feat. Heuss L'Enfoiré,Ne reviens pas
2020,89,Meduza feat. Goodboys,Piece Of Your Heart
2020,90,Freya Ridings,Castles
2020,91,AK Ausserkontrolle x Bonez MC,In meinem Benz
2020,92,Halsey,You Should Be Sad
2020,93,Ava Max,Who's Laughing Now?
2020,94,BTS,Dynamite
2020,95,The Scotts [Travis Scott & Kid Cudi],The Scotts
2020,96,Sam Feldt feat. Rani,Post Malone
2020,97,Alicia Keys,Underdog
2020,98,DJ Khaled feat. Drake,Popstar
2020,99,Harry Styles,Adore You
2020,100,Drake feat. Lil Durk,Laugh Now Cry Later
2021,1,Nathan Evans,Wellerman
2021,2,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix)
2021,3,The Weeknd,Save Your Tears
2021,4,Ed Sheeran,Bad Habits
2021,5,Lil Nas X,Montero (Call Me By Your Name)
2021,6,Riton x Nightcrawlers feat. Mufasa & Hypeman,Friday (Dopamine Re-Edit)
2021,7,Tiësto,The Business
2021,8,Shouse,Love Tonight
2021,9,Glass Animals,Heat Waves
2021,10,The Weeknd,Blinding Lights
2021,11,P!nk + Willow Sage Hart,Cover Me In Sunshine
2021,12,The Kid Laroi / Justin Bieber,Stay
2021,13,Måneskin,Beggin'
2021,14,Olivia Rodrigo,Good 4 U
2021,15,atb x Topic x A7S,Your Love (9PM)
2021,16,Masked Wolf,Astronaut In The Ocean
2021,17,Zoe Wees,Girls Like Us
2021,18,Justin Bieber feat. Daniel Caesar & Giveon,Peaches
2021,19,Dua Lipa,Levitating
2021,20,Duncan Laurence,Arcade
2021,21,CKay feat. Joeboy & Kuami Eugene,Love Nwantiti (ah ah ah)
2021,22,The Kid Laroi,Without You
2021,23,Joel Corry feat. MNEK,Head & Heart
2021,24,24kGoldn feat. Iann Dior,Mood
2021,25,Olivia Rodrigo,Drivers License
2021,26,HVME,Goosebumps
2021,27,Farruko,Pepas
2021,28,Ed Sheeran,Afterglow
2021,29,Ed Sheeran,Shivers
2021,30,Robin Schulz feat. Kiddo,All We Got
2021,31,Lil Nas X & Jack Harlow,Industry Baby
2021,32,Jason Derulo x Nuka,Love Not War (The Tampa Beat)
2021,33,Justin Wellington and Small Jam,Iko Iko
2021,34,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes
2021,35,Tones And I,Dance Monkey
2021,36,Ofenbach feat. Lagique,Wasted Love
2021,37,Adele,Easy On Me
2021,38,Meduza feat. Dermot Kennedy,Paradise
2021,39,Elton John & Dua Lipa,Cold Heart
2021,40,Imagine Dragons,Follow You
2021,41,Imagine Dragons,Wrecked
2021,42,Måneskin,I Wanna Be Your Slave
2021,43,Doja Cat feat. SZA,Kiss Me More
2021,44,OneRepublic,Run
2021,45,Russ Millions x Tion Wayne,Body
2021,46,Tom Odell,Another Love
2021,47,Tom Grennan,Little Bit Of Love
2021,48,Harry Styles,Watermelon Sugar
2021,49,Lost Frequencies / Calum Scott,Where Are You Now
2021,50,Lewis Capaldi,Someone You Loved
2021,51,Bad Bunny x Jhay Cortez,Dákiti
2021,52,Pashanim,Sommergewitter
2021,53,Vegedream,Ramenez la coupe à la maison
2021,54,Naps,La kiffance
2021,55,Tinlicker & Helsloot,Because You Move Me
2021,56,Lady Gaga & Bradley Cooper,Shallow
2021,57,Kungs,Never Going Home
2021,58,RAF Camora feat. Bonez MC,Blaues Licht
2021,59,CJ,Whoopty
2021,60,Doja Cat,Woman
2021,61,Purple Disco Machine & Sophie And The Giants,Hypnotized
2021,62,Sia x David Guetta,Floating Through Space
2021,63,SAINt JHN,Roses (Imanbek Remix)
2021,64,Ava Max,My Head & My Heart
2021,65,Regard,Ride It
2021,66,Topic feat. A7S,Breaking Me
2021,67,Måneskin,Zitti e buoni
2021,68,Gabry Ponte x Lum!x x Prezioso,Thunder
2021,69,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat)
2021,70,Majestic x Boney M.,Rasputin
2021,71,Billie Eilish,Happier Than Ever
2021,72,David Guetta feat. Kid Cudi,Memories
2021,73,Lo & Leduc,Tribut
2021,74,Silk Sonic - Bruno Mars & Anderson .Paak,Leave The Door Open
2021,75,Leony,Faded Love
2021,76,Coldplay,Higher Power
2021,77,Joel Corry / Raye / David Guetta,Bed
2021,78,Vize x Tokio Hotel,White Lies
2021,79,Luciano,Kids From The Block
2021,80,Tate McRae,You Broke Me First
2021,81,Montez,Auf & ab
2021,82,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade
2021,83,Santos x Sido x Samra,Leere Hände
2021,84,Wes Nelson & Yxng Bane,Nice To Meet Ya
2021,85,The Weeknd,Take My Breath
2021,86,Mariah Carey,All I Want For Christmas Is You
2021,87,Maroon 5 feat. Megan Thee Stallion,Beautiful Mistakes
2021,88,DaBaby feat. Roddy Ricch,Rockstar
2021,89,Polo G,Rapstar
2021,90,Rauw Alejandro,Todo de ti
2021,91,Lil Nas X,Thats What I Want
2021,92,Wham!,Last Christmas
2021,93,Zian,Show You
2021,94,Coldplay x BTS,My Universe
2021,95,Trinidad Cardona,Dinero
2021,96,Black Eyed Peas x Shakira,Girl Like Me
2021,97,Zoe Wees,Control
2021,98,Tones And I,Fly Away
2021,99,Olivia Rodrigo,Deja Vu
2021,100,Martin Garrix feat. Bono & The Edge,We Are The People
2022,1,Glass Animals,Heat Waves
2022,2,Harry Styles,As It Was
2022,3,Farruko,Pepas
2022,4,Ed Sheeran,Shivers
2022,5,Lost Frequencies / Calum Scott,Where Are You Now
2022,6,Elton John & Dua Lipa,Cold Heart
2022,7,Tom Odell,Another Love
2022,8,Gayle,abcdefu
2022,9,Camila Cabello feat. Ed Sheeran,Bam Bam
2022,10,Rema,Calm Down
2022,11,Ed Sheeran,Bad Habits
2022,12,Tiësto & Ava Max,The Motto
2022,13,Imagine Dragons x JID,Enemy
2022,14,Luciano,Beautiful Girl
2022,15,Shouse,Love Tonight
2022,16,David Guetta & Bebe Rexha,I'm Good (Blue)
2022,17,CKay feat. Joeboy & Kuami Eugene,Love Nwantiti (ah ah ah)
2022,18,Rosa Linn,Snap
2022,19,The Kid Laroi / Justin Bieber,Stay
2022,20,James Hype & Miggy Dela Rosa,Ferrari
2022,21,The Weeknd,Save Your Tears
2022,22,OneRepublic,I Ain't Worried
2022,23,Acraze feat. Cherish,Do It To It
2022,24,Shawn Mendes,It'll Be Okay
2022,25,Jaymes Young,Infinity
2022,26,Gabry Ponte x Lum!x x Prezioso,Thunder
2022,27,Jason Derulo,Acapulco
2022,28,Imagine Dragons,Bones
2022,29,Soolking,Suavemente
2022,30,DJ Robin & Schürze,Layla
2022,31,Nathan Evans,Wellerman
2022,32,Elley Duhé,Middle Of The Night
2022,33,Kate Bush,Running Up That Hill
2022,34,Adele,Easy On Me
2022,35,Lil Nas X,Thats What I Want
2022,36,The Weeknd,Blinding Lights
2022,37,Imanbek & BYOR,Belly Dancer
2022,38,Sam Smith & Kim Petras,Unholy
2022,39,Lady Gaga,Hold My Hand
2022,40,Alvaro Soler / Ray Dalton,Manila
2022,41,Chris Brown,Under The Influence
2022,42,Macklemore & Ryan Lewis feat. Ray Dalton,Can't Hold Us
2022,43,Robin Schulz & Dennis Lloyd,Young Right Now
2022,44,OneRepublic,Sunshine
2022,45,Luciano x Aitch x Bia,Bamba
2022,46,Sia,Unstoppable
2022,47,Lil Nas X & Jack Harlow,Industry Baby
2022,48,Miksu / MacLoud / Makko,Nachts wach
2022,49,Central Cee,Doja
2022,50,Jack Harlow,First Class
2022,51,Leony,Remedy
2022,52,Nina Chuba,Wildberry Lillet
2022,53,Swedish House Mafia & The Weeknd,Moth To A Flame
2022,54,Tinlicker & Helsloot,Because You Move Me
2022,55,Rosalía feat. The Weeknd,La fama
2022,56,Ion Miles / SiraOne / BHZ,Powerade
2022,57,Fireboy DML & Ed Sheeran,Peru
2022,58,Imagine Dragons,Wrecked
2022,59,Stromae,L'enfer
2022,60,"David Guetta, Becky Hill & Ella Henderson",Crazy What Love Can Do
2022,61,Mariah Carey,All I Want For Christmas Is You
2022,62,Bizarrap & Quevedo,Bzrp Music Sessions Vol. 52
2022,63,Rosalía,Despechá
2022,64,Jnr Choi,To The Moon
2022,65,CKay,Emiliana
2022,66,Lizzo,About Damn Time
2022,67,Doja Cat,Woman
2022,68,Joji,Glimpse Of Us
2022,69,Dean Lewis,How Do I Say Goodbye
2022,70,Kamrad,I Believe
2022,71,Wham!,Last Christmas
2022,72,Makar,Mood
2022,73,Michael Patrick Kelly,Blurry Eyes
2022,74,Gazo,Die
2022,75,Purple Disco Machine + Sophie And The Giants,In The Dark
2022,76,Liaze,Paradise
2022,77,Coldplay x BTS,My Universe
2022,78,Oxlade,Ku Lo Sa - A Colors Show
2022,79,Mahmood & Blanco,Brividi
2022,80,Rihanna,Lift Me Up
2022,81,Nicky Youre & Dazy,Sunroof
2022,82,Alonzo feat. Ninho & Naps,Tout va bien
2022,83,Dua Lipa,Levitating
2022,84,Lady Gaga & Bradley Cooper,Shallow
2022,85,Burna Boy,Last Last
2022,86,Olivia Rodrigo,Good 4 U
2022,87,Miksu / MacLoud & T-Low,Sehnsucht
2022,88,Becky G x Karol G,Mamiii
2022,89,Eminem,Without Me
2022,90,Oliver Tree & Robin Schulz,Miss You
2022,91,Benzz,Je m'appelle
2022,92,Britney Spears / Elton John,Hold Me Closer
2022,93,Anitta,Envolver
2022,94,Bad Bunny,Tití me preguntó
2022,95,Jax Jones feat. MNEK,Where Did You Go?
2022,96,Drake feat. 21 Savage,Jimmy Cooks
2022,97,Taylor Swift,Anti-Hero
2022,98,Stromae,Santé
2022,99,Manuel Turizo,La bachata
2022,100,Måneskin,Beggin'
2023,1,Miley Cyrus,Flowers
2023,2,Rema,Calm Down
2023,3,Udo Lindenberg & Apache 207,Komet
2023,4,David Guetta & Bebe Rexha,I'm Good (Blue)
2023,5,Tom Odell,Another Love
2023,6,David Kushner,Daylight
2023,7,Eminem,Mockingbird
2023,8,Harry Styles,As It Was
2023,9,Loreen,Tattoo
2023,10,Rosa Linn,Snap
2023,11,OneRepublic,I Ain't Worried
2023,12,Dave & Central Cee,Sprinter
2023,13,Metro Boomin with The Weeknd & 21 Savage,Creepin'
2023,14,Libianca,People
2023,15,Rosalía & Rauw Alejandro,Beso
2023,16,Macklemore & Ryan Lewis feat. Ray Dalton,Can't Hold Us
2023,17,Tiësto,Lay Low
2023,18,Iñigo Quintero,Si no estás
2023,19,Bizarrap & Quevedo,Bzrp Music Sessions Vol. 52
2023,20,Lewis Capaldi,Someone You Loved
2023,21,David Guetta / Anne-Marie / Coi Leray,Baby Don't Hurt Me
2023,22,Ayra Starr,Rush
2023,23,Doja Cat,Paint The Town Red
2023,24,Raye feat. 070 Shake,Escapism.
2023,25,Lost Frequencies / Calum Scott,Where Are You Now
2023,26,Miksu / MacLoud / Makko,Nachts wach
2023,27,Felix Jaehn & Ray Dalton,Call It Love
2023,28,Ed Sheeran,Shivers
2023,29,Sam Smith & Kim Petras,Unholy
2023,30,Sia,Unstoppable
2023,31,Elton John & Dua Lipa,Cold Heart
2023,32,Glass Animals,Heat Waves
2023,33,Tate McRae,Greedy
2023,34,James Hype & Miggy Dela Rosa,Ferrari
2023,35,Vance Joy,Riptide
2023,36,Farruko,Pepas
2023,37,Kenya Grace,Strangers
2023,38,Dua Lipa,Dance The Night
2023,39,Bennett,Vois sur ton chemin
2023,40,Meduza x James Carter feat. Elley Duhé + Fast Boy,Bad Memories
2023,41,Cassö / Raye / D-Block Europe,Prada
2023,42,Manuel Turizo,La bachata
2023,43,SZA,Kill Bill
2023,44,Taylor Swift,Anti-Hero
2023,45,Tiësto feat. Tate McRae,10:35
2023,46,The Weeknd,Save Your Tears
2023,47,The Kolors,Italodisco
2023,48,Eminem,Lose Yourself
2023,49,Eaz,Juicy
2023,50,Soolking x Gazo,Casanova
2023,51,Nina Chuba,Wildberry Lillet
